Pre-scan folder lookup dari '03_photos_export'...
  743 unique identifiers, 819 folder.

Processing 280 PDF dari '02_pdf_target'...

  [OK] BTP JAK\AXC\ZP 101 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\AXC\ZP 101A MSG-CCR/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP JAK\AXC\ZP 101A MSG-CCR/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 101B MSG-CCR/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP JAK\AXC\ZP 101B MSG-CCR/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 102 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\AXC\ZP 103 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\AXC\ZP 104 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\AXC\ZP 105 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\AXC\ZP 106 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\AXC\ZP 107 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 108 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 109 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 10A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 10A BOO/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 10B BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP BD\AXC\ZP 10B BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 110 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 111 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 112 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 12A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP BD\AXC\ZP 12A BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 12B BOO/date.txt -> Sabtu, Jan 06 2024 (filename)
  [OK] BTP BD\AXC\ZP 12B BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 13 BOO/date.txt -> Sabtu, Jan 06 2024 (filename)
  [OK] BTP BD\AXC\ZP 14A BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP BD\AXC\ZP 14B BTT-MSG/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 201 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP BD\AXC\ZP 201A CCR-MSG/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP BD\AXC\ZP 201A CCR-MSG/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP BD\AXC\ZP 201B CCR-MSG/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP BD\AXC\ZP 201B CCR-MSG/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 202 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 203 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 204 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 205 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\AXC\ZP 206 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
